START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
08/07/13,07:05 PM,07:05 PM,Marlins at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",08/07/13,08/07/13,10:05 PM,10:05 PM,FALSE,TRUE,08/07/13,06:05 PM,06:05 PM,FREE,BUSY
08/08/13,12:35 PM,12:35 PM,Marlins at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",08/08/13,08/08/13,03:35 PM,03:35 PM,FALSE,TRUE,08/08/13,11:35 AM,11:35 AM,FREE,BUSY
08/16/13,07:05 PM,07:05 PM,D-backs at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",08/16/13,08/16/13,10:05 PM,10:05 PM,FALSE,TRUE,08/16/13,06:05 PM,06:05 PM,FREE,BUSY
08/17/13,04:05 PM,04:05 PM,D-backs at Pirates,PNC Park,"Local TV: FOX ----- Local Radio: KDKA-FM 93.7",08/17/13,08/17/13,07:05 PM,07:05 PM,FALSE,TRUE,08/17/13,03:05 PM,03:05 PM,FREE,BUSY
08/18/13,01:35 PM,01:35 PM,D-backs at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",08/18/13,08/18/13,04:35 PM,04:35 PM,FALSE,TRUE,08/18/13,12:35 PM,12:35 PM,FREE,BUSY
08/27/13,07:05 PM,07:05 PM,Brewers at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",08/27/13,08/27/13,10:05 PM,10:05 PM,FALSE,TRUE,08/27/13,06:05 PM,06:05 PM,FREE,BUSY
08/28/13,07:05 PM,07:05 PM,Brewers at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",08/28/13,08/28/13,10:05 PM,10:05 PM,FALSE,TRUE,08/28/13,06:05 PM,06:05 PM,FREE,BUSY
08/29/13,07:05 PM,07:05 PM,Brewers at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",08/29/13,08/29/13,10:05 PM,10:05 PM,FALSE,TRUE,08/29/13,06:05 PM,06:05 PM,FREE,BUSY
08/30/13,07:05 PM,07:05 PM,Cardinals at Pirates,PNC Park,"Local TV: ROOT SPORTS -- MLBN ----- Local Radio: KDKA-FM 93.7",08/30/13,08/30/13,10:05 PM,10:05 PM,FALSE,TRUE,08/30/13,06:05 PM,06:05 PM,FREE,BUSY
08/31/13,07:05 PM,07:05 PM,Cardinals at Pirates,PNC Park,"Local TV: ROOT SPORTS -- MLBN ----- Local Radio: KDKA-FM 93.7",08/31/13,08/31/13,10:05 PM,10:05 PM,FALSE,TRUE,08/31/13,06:05 PM,06:05 PM,FREE,BUSY
09/01/13,01:35 PM,01:35 PM,Cardinals at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",09/01/13,09/01/13,04:35 PM,04:35 PM,FALSE,TRUE,09/01/13,12:35 PM,12:35 PM,FREE,BUSY
09/12/13,07:05 PM,07:05 PM,Cubs at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",09/12/13,09/12/13,10:05 PM,10:05 PM,FALSE,TRUE,09/12/13,06:05 PM,06:05 PM,FREE,BUSY
09/13/13,07:05 PM,07:05 PM,Cubs at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",09/13/13,09/13/13,10:05 PM,10:05 PM,FALSE,TRUE,09/13/13,06:05 PM,06:05 PM,FREE,BUSY
09/14/13,07:05 PM,07:05 PM,Cubs at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",09/14/13,09/14/13,10:05 PM,10:05 PM,FALSE,TRUE,09/14/13,06:05 PM,06:05 PM,FREE,BUSY
09/15/13,01:35 PM,01:35 PM,Cubs at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",09/15/13,09/15/13,04:35 PM,04:35 PM,FALSE,TRUE,09/15/13,12:35 PM,12:35 PM,FREE,BUSY
09/16/13,07:05 PM,07:05 PM,Padres at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",09/16/13,09/16/13,10:05 PM,10:05 PM,FALSE,TRUE,09/16/13,06:05 PM,06:05 PM,FREE,BUSY
09/17/13,07:05 PM,07:05 PM,Padres at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",09/17/13,09/17/13,10:05 PM,10:05 PM,FALSE,TRUE,09/17/13,06:05 PM,06:05 PM,FREE,BUSY
09/18/13,07:05 PM,07:05 PM,Padres at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",09/18/13,09/18/13,10:05 PM,10:05 PM,FALSE,TRUE,09/18/13,06:05 PM,06:05 PM,FREE,BUSY
09/19/13,12:35 PM,12:35 PM,Padres at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",09/19/13,09/19/13,03:35 PM,03:35 PM,FALSE,TRUE,09/19/13,11:35 AM,11:35 AM,FREE,BUSY
